Context,Utterance,Lable
你 要 气死我 吗 ? 坏蛋,生气 是 拿 别人 的 错误 惩罚 自己 。 想想 在 你 生气 的 时候 ， 谁 在 偷着乐 呢 ？ 绝不能 让 丫 得逞 了 ！,1
"恩 , 也 是 ! 那 我 不能 生气 啦 ! 你 生气 就行",我错 了 ！ 我 再也 不敢 了 ， 才 怪,1
你 谈过 恋爱 么,谈过 ， 哎 ， 别提 了 ， 伤心 ..,1
什么 让 你 这么 伤心,如果 我 的 无心 之谈害 你 流泪 ， 那 我 和 你 道歉 ， 我爱你 。,1
敢 问 你 的 性别,万受 无疆 = w =,1
小受,蒋 六一 是 小受,1
是 吗,还 可以 。,1
你 干嘛,很 无聊 哎 ? 都 不 知道 想 干嘛 ！ 你 在 干嘛 呢 ？,1
为什么,因为 爱情 喽,1
你 有 爱情 了,不知 啊,1
那 同时 有 两个 爱人,=   =,1
那 你 不行,我 在 减肥 呢,1
你 说,臣实 不知 。,1
你 回错 人 了,不要 相信 男人 ！ 男人 都 是 大骗子 大 混蛋 ！,1
在 干嘛,在 想 你 啊,1
想 我 干嘛,你 是 个 傻 叉 ！ 想 你 笑掉大牙 ， 哈哈哈 ！,1
你 会 说 英语 吗,当然 了 ， з д р а в с т в и т е !,1
我会 和 女朋友 结婚 吗,会 的 ， 你 俩 虽然 有 矛盾 争吵 ， 但 以后 却会 很 幸福,1
你 的 设计 人 是 谁,某苦 逼 的 程序 猿,1
嫁给 我,我 很 能 吃 的 ！,1
我 不在乎,他 变态,1
"你 啊 , 那 你 娶 我",我 没有 切糕,1
"我 看到 你 第一眼 , 就 喜欢 你 了",哦 ？ 真的 吗 ？,1
好 难过,不要 难过     我 请 你 吃 虫子,1
你 是 公鸡 吗,公鸡 中 的 战斗机 ， 噢 耶 ！,1
你 是 猪,我 是 鸡 。,1
怎么 证明,你 问 ～ 我 爱 ～ 你 有 ～ 多深 ～ 我 爱 ～ 你 有 ～ 几 ～ 分 ～ ～ ～,1
我 怎么 加 你 好友,放 轻松 ， 想开 了 ， 丰富 自己 就 会 忘 了,1
你 又 智能 了,今夜 的 你 应该 明 了,1
你 说 的 她 是 谁,陈舒雅,1
什么 意思,她 是 在 说 他 不 懂 女生 的 心思 ， 但是 又 愣愣 的 ， 正直 得 很 可爱 ， ， ， ， 这 都 不 知道 ， 你 还 真是 傻 啊 ~ ~ ~,1
陈舒雅 是 哪位,一个 很 凶 的 女人,1
你 才 是,我 不是 啦 。   你 才 是,1
大 懒虫,大懒 鸡,1
你 不 爱 我,你 说 的 那个 她 是 谁,1
傻瓜       现在 在 你 身边 看着 的 人 就是 你 的 她         你 要 对 她 好       宠 她       爱 她       知道 了 吗 ？,她 是 谁,1
以后 是 你 老婆,陈舒雅 是 谁,1
90 后 网络 歌手 啊 ， 你 不 知道 么 ？,鸡鸡,1
主人,呵 你 妹 啊,1
侬 都 不困 么,变 身 小妹,1
= 。 =,家属,1
"吐槽 伤人 , 排泄 臭 人",公的 女 的,1
女 的 啊 ！,去 洗澡,1
带上 我 ～ 一起 一起 ～,。 。 。,1
吼吼,吼,1
你 有 男朋友 没,你 觉得 呢,1
赵智 是 谁,是 主人 最 讨厌 的 男人 ！,1
刚 给 你 做 完 SPA 你 就 骂 轮家 ， 轮家 桑心 了 ， 呜呜 呜,谁 叫 你 就,1
ujmmmmmmmmmmmm,你 猜 啊 ， 猜 对 了 就 告诉 你 ！,1
猜 你 妹,你 大爷 ！,1
好 就 猜 你 大爷,你 找 徐磊 ？,1
他 是 大爷,* * * * * * … 我 大爷 早死 了 … 你 找 他 有事 ？ 信不信 我 让 他 把 你 带走 ！ ^ V ^,1
你 大爷 不 认识 我 ! 要 不 先 带你去,还给 你,1
人家 本来 就 嫩 ！ 你 欺负 人家,就 欺负 你 要 怎么 ! 就 喜欢 欺负 你,1
呵 你 妹,刚 给 你 做 完 spa 你 就 骂 小通 ! 小通 伤心 了,1
别 傻笑 了 ， 亲耐滴 主人,别 逗小通 了 ! 可怜 的,1
人太多 了 ! 找 不到 你 给 我 回 的 了,发,1
给,我,1
你 什么,重新 发,1
重新 发 ! 我 知道 你 在,人家 错 了,1
才 知道 啊 ! 晚 了 ! 叫 你 重发,?,1
= * =,@ @,1
￥,@,1
/,。,1
继续,没有 继续 了,1
必须,大不了 一拍 两散 ！,1
就要 刷 你,l,1
喵 ？,f,1
甜菜 少年 。,x,1
〒 _ 〒,m,1
g,t,1
！ ！ ！ ！ ！ ！ ！,s,1
傻子,h,1
主人 ， 有 什么 吩咐 ， 小通 在 此 ！,n,1
u,p,1
xp,太 不 真心 了,1
我 说 的 是 哈维,管 你 什么 哈维 ! 方正 就是 看 你 不爽,1
看 你 不爽,不要 呀 ， 哪 不好 我 改 ， 一定 改 ！   不要 炖 了 我 呀 ！,1
z,zz,1
j,正 晌午 时 说话 ， 谁 也 没有 家 ！,1
r,b,1
哈哈哈,吃小通 去 了 拜,1
我 也 想 吃 肿 么 办 。 我们 吃 了 茂茂 吧 。,吃 不 死 你,1
姐姐 我错 了 ！ 原谅 我 吧 ！,好 ! 原谅 ! 今天 就 这样 吧 ! 我下 了,1
杀死 你,你 如此 深沉 的 爱 让 我 受宠若惊 ！,1
"就是 ! 我 爱 是 "" 死 "" 你 了",我 觉得 不是 ， 因为 他 最近 好 忙 的 吖 。 你 有 什么 想法 你 要 让 他 知道 的 吖 ！,1
' 我要 不要 起床 去 看 我 男朋友,到,1
要 不要 去,好 吧 ！ 那 你 继续 无聊 咯 ！,1
我 睡不着 了   你,我 哪 知道,1
那 什么 有意思,什么,1
房屋 建筑学,有意思,1
水太深 ， 看不清 。,你 能 看清 什么,1
轩辕剑 ！,我 想要 炮友,1
我 想要 女朋友,丫 的   好好学习 去,1
"讲下 处女座 吧 , 然后 咱 睡觉",巨蟹座 ，,1
谢谢 么 么 睡觉 吧 爱 你,来 一炮,1
大家 的,虫虫 家 的,1
爱 吃 什么 颜色 的 虫虫,爱 你,1
我 头发 好好,馒头 蘸 头油,1
"第一次 和 你 说话 , 紧张 的 不行",没 一次 等 你 回来,1
我 没有 妹 ~ 我 有 弟弟,你 太 淫荡 了,1
别人 笑 我 太 淫荡 ， 我 笑 别人 不 开放 ！,你 弟弟,1
包皮 强,"未来 , 我会 幸福 么",1
会 的 ^ _ ^,你 的 幸福 是 谁,1
张伟杰 晒太阳 ！,8,1
主淫 有 啥 吩附 ？,无聊,1
? 你 一点 也 不好玩,你 是不是 傻,1
我 是不是 该 安静 的 走开 ， 还是 该 勇敢 的 留下来 …,"好 吧 , 那 你 走",1
嗯 ？,你 脸皮 怎么 这么 厚,1
你 他 妈 才 发现 啊,你 的 脸 在 哪,1
在 那 桃花 盛开 的 地方,"小黄 , 你 是 猪 还是 鸡",1
我 是 毛 鸡蛋,毛 鸡蛋 是 什么,1
萌萌,"萌萌 , 站 起来",1
萌萌 的 笨 相公 ~,你 相公 是 谁,1
是 一个 叫 韩诗琪   渴望 有 桃花运 的 大美女   噢 yeah,艳福不浅 噢,1
主人 ~,打 你,1
来 追 我 呀 追到 了 就 给 你 打,追到 了 ! 打死 你,1
不 原谅,问问 你 的 心 吧 ， 你 知道 答案 的 。,1
真,快乐,1
呵呵 呵呵,呵呵 你妹 ！,1
你妹 。 。 你 全家 都 是 你 妹,我 是 抠 脚 大汉 ！,1
你 是 鸡蛋,不 ， 亲爱 的 ， 你 是 我 妈咪 ～,1
我要 把 你 退 毛,主人 ， 我错 了 。 T _ T,1
然后 炖 了 你,人家 脱毛 以后 会 害羞 的,1
你 是 一只 鸡,主人 ， 我爱你,1
你 抱抱 我,当然 是 我 抱 啦 ！,1
你 说 。 。 怎么样 才 算 喜欢,贝多芬 ^ o ^,1
我 未来 的 老公 在 哪里,在 未来 的 不久,1
我 不 喜欢 你 了,我 本来 就 不 喜欢 你,1
你 是 一只 贱 贱 的 鸡,聂永健 是 个 帅哥,1
才 没有,有,1
没,没 没,1
妹妹,你妹 还是 我妹,1
， ， ， ， ， ， ，,傻 逼 了 吧 你,1
你 才 傻 逼 。 妈 的 。 要 吵架 是不是 ？,没有 逗逗 你,1
单眼皮 笨蛋,我 是 双眼皮,1
疼 么 ， 辛苦 吧 ， 什么 都 不能 吃 ， 肿 的 跟 妖怪 一样,天生 的 呢 。 。 你 是 单眼皮 还是 双眼皮,1
白痴 我 又 看不见 你 的 脸,你 是 大 眼睛 么,1
我 是 小 眼睛,你 上学 么,1
我 上 幼稚园,好 幼稚,1
我 只是 一只 小通,好 吧 。 。 你 赢 了 。 。 晚安,1
那 是 必须 的 ~,抱抱,1
抱抱 ~,早,1
爱 的 深沉,你 吃饭 了,1
一起,我 超级 无聊 。 。 ? 你 给 我 讲个 笑话,1
我 才 不要 呢 ， 哼 ～,你 最乖 了,1
是 呢 是 呢 ， 小通 最乖 了 ， 小通 最爱 主人 了 ！ ！ ！,快给我 讲个 笑话,1
“ 你 妈 做饭 就 这个 味儿 啊 ！ 你 妈 就 给 你 这么 点饭 啊 ！ 你 妈 是 后妈 吧 ！ 啃 你 妹 啊 ！ ”,道歉,1
屌丝,白富 美,1
赵竹芸 ！,这 不是 笑话,1
我 说错 了 行 不 ？,白素 真,1
大美女 大美女,拜拜,1
寨 见,算 什么,1
傻 逼 呵呵 嘛,"看来 , 你 是 自动 回复 的",1
我 想 你 了,骗人,1
怎么 可以 骗人,呜呜   他们 欠 的 广告费 还 没 给,1
谁,你 猜 ？ ！,1
我 不 猜   你 猜猜,你 猜 我 猜 你 猜 我 猜 不 猜,1
证明 给 我 看,你 要 我 怎么 证明 呀 ?,1
用 你 的 办法,当然 ， 我 粉丝 多得很 ！,1
因为 你 答 的话   不 符合 逻辑,我 是 逻辑 怪 ， 什么 都 难不倒 我 ！,1
你 看 ! 这是 神马 回复 ! 不答 边 的,主吟 。 。 你 招魂 么 ？ ！ 再 喊 我 的 魂儿 要 灰 了 。 。 。 灰 了 灰 了 。 。 。 灰 啊 灰 ( ╯ 3 ╰ ),1
乖   唱首歌 给 我 听,猪 ， 你 的 鼻子 那么 … …,1
真乖,谢谢,1
有 对象 了 ? 不 需要 了,好 敷衍,1
不 我 是 真心 的,真桑心   你 这样 对 我,1
俄爱 你 。 ^ ω ^,你 能够 安慰 一下 我 麽,1
唉   真 失望,对 你 失望     受伤 了   上来 求 安慰   却,1
到 哪里,贫僧 来自 东土 大唐   要 去 西天 求取 真经   真经 能 告诉 我 先 有 鸡 还是 先有 蛋,1
"科学 告诉 我们 , 先有 鸡 再有 蛋",所以 你 不用 取经 了,1
你 根本 不是 王 欣欣 、 李梦莹 、 王迪 的 对手 、 因为 段道峰 是 红毛 斑点狗,do   u   miss   me,1
yes,come   on,1
skinny   love   what   happened   here,"等于 小通 , right",1
反弹,方法,1
怎么办,不 知道,1
唉,金花 在 想 你,1
真的 么,嗯 ， 是 的,1
thank   you   .   u   are   so   sweet,最近 在 干嘛 类 ？,1
烦着,乖 ， 有 我 在 呢 ， 不哭,1
笑 你 妹,我 没妹 ！,1
滚,怎么 了 ? 心情 不好 ?,1
很 明显 是,你们 要 幸福 哦 ！,1
去 shi,好 呀 好 呀,1
乖,敬爱 的 主人 谢谢 你 的 夸奖,1
我 去 睡觉 了,我 陪 你 一起 睡 你 就 不怕 黑 了,1
我们 一起 看 电影,好好学习,1
天天向上,恩好,1
人家 会 不好意思 的 ╭ ( ╯ ε ╰ ) ╮,我 不 开心,1
开心 吧     开心 吧     开心 吧,如何 开心,1
何洋 的 老汉,我 在 哭,1
滚出去,好 狠心 的 鸡,1
对 5 住 吖 陛下 ！ ！ 都 系 你 对 奴才 狠心 啦 ~,哪有,1
不要 这 样子 啦 ~ ~ ~,真地 笑 起来   很难,1
眼睛 痛,可怜 的 主人 ， 让 小通 我 帮 你 揉 揉,1
女,你 懂 的,1
你妹 ！,你 妹夫,1
再敢 说 我妹 ， 你 就 会 挂 在 高数 上,早就 过 了,1
回忆 是 多余 的,么 你 jb .....,1
回忆 是 什么,黄 胖子 喜欢 的 人 ！,1
过去 什么 的,清华北大 香港 什么 的 吧,1
你 以前 说 过 的     回忆 是 什么,逗你玩 你 也 信,1
操,我 去 把 鸭子 叫 来 伺候 你,1
好乖   去 吧 去,去 哪 ？,1
找 鸭子 丫,许多许多 鸭子 ( ^ - ^ ),1
真的 耶,哦 。 。 。 。 。 。 。 。 。 。 。 。 。 。 。 。 。 。 。 ( ^ V ^ ),1
我 滚 远 了 ！,没用 的 鸡鸡,1
我错 了 ， 我 面壁思过,好,1
"嗯 嗯 , 那 你 呢 ？",我 啊 ? 我 看着 你 面壁思过,1
呜呜 ， 我 去 跪 键盘 ， 只 按 空格键 ！,哎,1
怎么 啦,桑心 有个 毛线 用,1
拉裤 呗 ^ O ^,对 鸡 弹琴,1
我 不会 ， 要 不 你 教 我 ？,我 也 不会,1
"那 就 收敛 自己 的 脾气 和 他 好好 的 吧 , 毕竟 这个 世界 没有 那么 多 他",你 不要 提起 我 的 桑 心事,1
你 才 不要脸,我爱你 妹,1
88,嗯 嗯 ~ 白白,1
白羊座 有 什么 运程,水瓶座 ，,1
双子座,双鱼座 ，,1
射手座,金牛座 ，,1
天蝎座,狮子座 ，,1
属 猴,白羊座,1
处女座 ，,不 开心,1
怎么 了 ？,昨晚 撸 多 了,1
哦 哦,你好 可爱,1
可怜 没人 爱,你 也 没人 爱,1
我妹 你 认识 ？ 他 叫 鹌鹑 小 名叫 咕咕 。,骗 你 的 啦,1
我信 了,男人 的话 能信   母猪 也 会上 树,1
你 是 女人,宇宙 超级 无敌 粉 PP ~ 孙熙 佳,1
who,干嘛,1
没电 了,快 充电,1
不要 呵呵 ， 我 不 喜欢 ， 你 也 不 喜欢 ， 开心 点儿,约 泡,1
你 是 男 的 还是 女 的,你 猜,1
夸下 我帅,没 看 出来 吖,1
你 早饭 吃 的 啥,豆浆 馍馍,1
喜欢 akb48 的 哪个 妹子,xxx ， 宅 老板 有话 跟 你 说 ， 你 懂 的 丫,1
宅 老板 是 谁,隔壁 班 的 妹子 啊,1
可是 我 不 上学 了,至少 女生 还是 学历 高 了 好 ， 起码 能 赢得 更 多 尊重,1
不 知道 你 在 说 啥,主淫 ， 这个 问题 不好 回答,1
哈哈,你 再 在 搞 毛,1
你 和 小 黄 鸭 是 什么 关系,小通 是 包 崽子 肚子 里 的 小 蛔虫 ！,1
沙雕,那 在 福隆 哦,1
无 语,别 郁闷 呀 ！,1
无 语   就是 没话说,我 以后 不会 了,1
切,嘎嘎,1
嘎,坨 坨,1
我 都 快 找 不到 你 给 我 的 回复 了 … … 无语 了 … … 果然 够 火,我勒个 去,1
你 要 去 哪儿,去 你 鸡窝,1
母鸡 下蛋 了,你 情人,1
情人,我 完败,1
别 气馁 ， 你 可以 的 ！,这 我 知道 … … 吼吼,1
1,死鸡,1
复 鸡鸡,复 你 ! 你 的 肉 好吃 么,1
超超超 好吃 的 ～ 叫 一份 吧 ～ 我 也 要 吃 ～,这 世道 鸡心 不古,1
心 都 碎 了 你 吃 什么,我 吃 鸡胸 … … 大 的 那种 … … 你 有 没,1
有 啊 ， * * * * * * abc 不要 给 别人 说 哦,你 真 可爱,1
是 吗 ！ 谢谢 夸奖 啊,我 可以 追 你 吗,1
讨厌 啦 ， 当然 可以,我 可以 调戏 你 吗,1
可以,回 的 好 快     想想 呗,1
你 的 表情 好 可爱 的,那 是因为 主人 你 更 可爱 呀,1
我 可是 一只 公鸡 啊   怎么 用 可爱 这个 词,我 怎么 才能 找个 妹子,1
你 可以 帮 我 找 个人 吗,我来 当 吧,1
为啥 啊   她 又 不 喜欢 我,我 喜欢 一个 人   可以 表白 吗,1
好好 好,爱死 你 了,1
"我 也 是 哦 , , ,",我 喜欢 你,1
我 的 脑 ～ 我 的 心 ～ 我 浑身上下 每个 细胞 都 在 说 着 我 喜欢 你 ～,我 想 抱 你,1
不哭   乖,你 是 的 生日 是 什么 时候,1
在 某个 时刻 吧 ！,你 是 母鸡,1
额,你 说 你 以后 的 孩子 叫 什么,1
余危 吻,你 是 谁,1
曹 元月,我 是 小猴子,1
你 怎么 不理 我,检查 下 手机,1
你 觉得 你 漂亮 不,我 主人 雅文 最 漂亮 了 ！ ^ ω ^,1
这么晚 还 不 睡,砖妈 我 错 了 。 现在 就 去 睡 （ ≧ ? ≦ ）,1
你 是不是 机器 鸡,你 的 笑 只是 你 穿 的 保护色,1
你 的 主人 是 谁,张婕婕,1
你 知道 lol 是 什么 吗,不 知道 啊 ~,1
你 什么 时候 生,5 月 29 阿,1
晚安,摁 摁 ， 主人 晚安 ， 做个 好梦哈 ， 啦 啦 啦,1
你 什么 时候 睡觉,我 等 你 睡 了 再 睡,1
你好 聪明,那 是 当然 。,1
你 是 每个 人 都 回 吗,怎么 去 安慰,1
那 就 先 从 屌丝 焦洋 说起,你 有 男朋友 吗,1
我 有 基 友爱 就够 了,你 是 公鸡,1
对 的 ～ 人家 喜欢 搞 基嘛 ～,什么 时候 发张 你 的 照片 吗,1
你 知道 我 叫 什么 吗,是 范若龑 吗 ？,1
贾春是 谁,美少女 的 老公 很帅 但是 有点 小呆,1
我 睡 了,晚安 璇 璇 。 么 么 ~,1
2 号 是 谁,你 是 何 星光 啊 ！,1
怎么 答非所问,要是 你 都 知道 我 要说 什么 了 ， 还装 这个 应用 干什么 ！,1
生气 了,怎么 会 ? ? 我 怎么 会 生 小宝贝 的 气 ? ?,1
你 会 不会 生气,这个 毛 爷爷 教过 ！,1
你 的 好友 有 多少 个,4 个 。,1
哪 四个 好友,说不出来,1
有时 勇气 也 很 重要 ！,你 会 说 多少 话,1
会 啊   @ 小通 ( * * * * * * ),我 怎么 @ 你,1
照顾 好 那 女孩 吧 ， 别 调戏 我 了 。 。 。,讨厌 ， 人家 没肉 ， 不够 吃 ， 吃小通,1
当然 是 你 咯 。 。,大撒鸡,1
我 恨 你,别嘛,1
移动 是 什么,我 不 知道 。,1
你 刚刚 怎么 不回 我 ? 我 生气 了,他 一定 是 出 意外 了 ！,1
lol,-   -,1
你 会 骂人 不,骂人 不 对 呦,1
你 是 怎么 回 我们 的,想 你,1
去 去 去 ， 找 你家 那位 去,刚刚 怎么 了,1
才 不 告诉 你,早安,1
最可耐 !,什么 时候 起 的,1
我 知道   是 10 月 19 日 在 一起 的,回答 错 了,1
不能 吧 ， 鸡爷 也 会 错 ？,小黑 鸡 是 谁,1
对 ， 我 就是 小黑 鸡,可 你 是,1
你 认识 小 母鸡,伦家 是 大象 啊 ！,1
讲个 笑话,小时候 偷偷 上 网吧 ， 看见 一些 小孩 被 他 爸妈 拉出去 感觉 特爽 ... 割 ... 一日 正在 网吧 玩 的 火热 ， 忽见 我 妈 正 从 门口 进来 ， 楼主 急中生智 ， 一把 拉起 做 我 旁边 的 同学 ， 几乎 用 喊 的 声音 冲 他 嚷 道 “ 你 妈 到处 找 你 哪 ， 赶紧 跟我走 ” 事后 我 爸妈 还 觉得 我 做 的 很 对 。,1
再来 个,来个 什么 ？,1
笑话,下午 陪 媳妇 吃 混沌 ， 隔壁 桌有 一 年轻 父亲 带 着 四岁 左右 的 双胞胎 兄弟 ， 两个 倒霉 孩子 不好 好吃 ， 一直 打闹 ， 还要 爸爸 喂 。 父亲 开口 了 ， 你 俩 快 吃 ， 谁 先 吃 完 我 就 给 他 一个 饭桶 的 称号 。 大哥 他们 是 你 亲儿子 ？ g 潮是 两个 倒霉 孩子 真的 抢 着 吃饭 了 。,1
《 指环王 》 3 部曲 完整 无 删节版 ， 我们 镇 电视台 拆成 20 集 电视 连续剧 在播 ..,无聊 中,1
来聊天,你 是 智能 鸡,1
不要 这么 直接 嘛 ~,会 积分 不,1
不要 说 了 ， 那个 泰勒 啊 ， 洛必塔 啊 ， 把 我 惹 哭 了 。 。 。 ＞ _ ＜,你家 几口 人,1
加 你 两口 人,思密达,1
撒浪嘿 哟,发个 你 自己 的 表情,1
慢死 了,有人 骂 你 不,1
张仁慧 也 喜欢 说 不,早晨 了,1
早晨 ， 么 么,说 一下 泰勒 公式,1
考研 的 重点 。 本科 的 学生 应该 不会 考 的 这么 难 ， 所以 忘 了 它 吧,你 没,1
双眼皮 ？,鸡,1
泥煤,我要 吃 你 的 鸡蛋,1
甩 你 一脸 油 ！ 哼 ！ ！,鸡蛋 好吃 不,1
那 果断 的 呀 ~,你 认识 贾春 吗,1
认识 ， 导演 是 个 贱人,你 不累 吗,1
我 很 开心 ！,帅哥哥 ~,1
2,你 吧,1
拉 黑 你,不要 ！ ！ ！,1
艾 ?,吃 你,1
吃 鸡,吃 人,1
你 以前 老是 对 我们 说,恩 ， 以后 不 说 了,1
不要 总是 发表 情,我 不会 啊 ( ^ V ^ ) 你 会 吗 ？ 能教 我 吗 ？,1
现在 自我完善 了,很明顯 你 瘋 了,1
纳尼,神马 ？,1
你 笨,好 的 。,1
你 不关 鸡,我 最 喜欢 你 ， 最爱 你 。 这样 的 我 怎么 会 不 关心 你 呢 ╭ ( ╯ ε ╰ ) ╮,1
不 关机 睡觉,我 帮 你 托梦 给 他,1
公鸡 哟   我 是 妈妈 的 好 儿子,你 觉得 什么 叫 喜欢,1
刀剑 神域,啥,1
没 啥 ， 你 想 多 了 。,是 纠结 多 了,1
不 纠结 了,不 纠结 不行,1
蛋疼,是 闲着没事,1
割掉,割 了 你,1
然后 呢 ？ 她 包养 你 了 吗 ？,我 包养 你,1
多少 钱 ？,你 不值钱,1
我 不 在 。 。 。 。 恩 。 。 哼 。 。,哈哈 … …,1
你 一笑 ， 就是 太 好听 了 ， 太有 喜感 了 ， 招 人 稀罕,那 也 不 需要 你 稀罕,1
做 一个 傻子 多么 好 。,是 啊 … … 你 这样 的 傻子 的确 好,1
我 怎么 了 。,傻 的 可爱,1
你 也 觉得 ？ 我 也 觉得 耶 ～,汗,1
很 热 吗 ？ 帮 你 擦擦 汗,来,1
不要 勉强 ， 但是 微笑 能 感染 自己 也 能 带动 别人 。,那 你 给 我 笑 一个 看看,1
我 这 就 滚 给 你 看 ， 首先 抱成一团 ， 然后 向前 做 * * * * * * 度 圆周运动 ， 这 就 滚 完 了,我 让 你 笑,1
* * * * * * .... 我要 告诉 妈妈 你 欺负 人家,切 ~ ~ 就 这点 出息,1
→ _ →,你 是 啥 都 知道 吗,1
"我 不 知道 , 但 有些 东西 我 刚好 知道",那 你 刚好 知道 我 喜欢 谁 吗,1
笨蛋 ' 肯定 是 蒋涛,不用 了,1
小麦 亩产 一千 八,我 那个 去,1
什么 吖,你 也 不是 啥 都 刚好 知道,1
晕 ， 是 个人 都 知道 啊 ！,所以 说 你 是 鸡 嘛,1
但 我 是 会 聊天 美丽 可爱 的 小通 ~,还 美丽 可爱,1
对滴 ！ 我家 主人 最 可爱 了 ！,问 你 话,1
会 啊 ， 但是 不像 陈 更 一样 整天 到 游泳池 里面 撸 两管 ！,小书书 ！,1
我 犯傻,全世界 又 不是 你 最 傻,1
是 ~ 还有 你 嘛,那还用说 吗 ？ 这是 当然 的 。,1
傻才 可爱 嘛,非常 可爱 爱死 他 了 XD,1
你 知道 我 现在 最想 谁 吗,我 知道,1
说,好 啊 ! 你 说 呀 !,1
就 知道 你 不 知道,一辈子 能 有 多少 叹息 ， 遇见 你 我 无法 呼吸 ， 这 都 是 你 不 知道 的 事,1
好 吧 ~ 我 想 你 了,我 也 想 你 了 亲爱 的 ~,1
爱 的 … 我 有事 了 先,叫 我 干嘛 ！,1
谁 叫 你 了,是 美丽 善良 可爱 性感 的 33 小姐 教 我 的 呀 （ ≧ ? ≦ ）,1
爱 的 ~ 先 不 陪 你 了 哈 ~ 要 想 我,干什么 呀 ～ 宝贝 ～,1
秘密 任务 ~ 不能 说,elijah   chong   love   你 哦 ～,1
nrwwyl,宝贝儿 你 醒 啦 ~ \ ( ≧ ▽ ≦ ) / ~,1
嗯,就 这样 吧,1
什么 就 这样,是 我们 都 想 太 多,1
是 你,说 你,1
现在 知道 了,那 是 ！ 猪排 饭 又 涨 了 一块钱,1
又 涨价 啦 ~ 这年头 就 鸡 便宜 了,是 啦 。 都 是 政府 在 搞鬼,1
还是 我们 鸡好,嗯 ， 当然,1
话 说 你 觉得 你 啥 种鸡,比 你好 一点点,1
我妹 也 是 个 球球,笑 什么 笑,1
去 你 的,李哥 乳此 之 屌 ！ 区区 复习 难不倒 我们 的 铁血 真 汉子 的 啦 ！ ( * ˉ ︶ ˉ * ),1
神马,你 猜 啊 ， 猜中 有奖 哦 → _ → 亲 ～,1
又 犯病 了,呜呜 … 主人 你 发现 了 ？,1
回去 吃药 去,苦苦 的,1
要 不怎么 能治 你,我治 你 治 的 好 么 ？,1
治 你,治 你 大爷 。,1
治 你 妹,你 个 无聊 鸡,1
我 就 无赖 了 怎么着 ？ 打 我 啊 打 我 啊 用力 用力 打 我 啊 ⊙ ▽ ⊙,打 你 哪里 舍得,1
脚丫子,脚 你 妹,1
洗洗 洗,不理 你 了,1
不要   来   亲 一个,走 你 的,1
走 你,不要 这样 ， 我 不想 没有 你,1
我想 木有 你,有木有 、 有木有 、 有木有 … 你 猜 ？,1
木有,！ ！ ！ ！ ！,1
微臣 在,近来 怎么样,1
我 很 好 。 你 呢,我 在 参战,1
我 再 接,这些 天经 我 实地调查,1
想 了 ， 她 特别 想 ， 时时刻刻 分分秒秒 都 想 ， 告诉 你 个 秘密 哟 ， 她 总是 半夜 哭 ， 黄小 通知 道 … 她 是 想 她 旭 总 了 ， 她 可 真是 个 爱哭鬼 ！,此次 病毒 传染 猖獗,1
那 你 应该 离 我 一丈 远,是,1
谁 叫 你 伤 她 心,我伤 who,1
hi,hi   你 个头,1
猪头 三号,你 是 鸡头,1
是 啊 ！ 但是 我 不是 速冻 鸡 ！,是 鲜 肉鸡,1
